Model,AUC,Accuracy,Precision,Recall,F1
Decision Tree Base,0.6710879567459175,0.6711241870464201,0.6723588982087196,0.6765029323046151,0.6744245495125268
Decision Tree Tuned,0.7001109404412318,0.6527207343488645,0.6436775304960897,0.6950578182899892,0.6683816938644093
Random Forest (Max 2 depth),0.6700412949289376,0.6174197754770638,0.6111343627150566,0.6603924186768354,0.6348092794209645
Random Forest (Max 5 depth),0.6914552398986168,0.6465302233029975,0.6332194047633375,0.7082232401124734,0.6686244846272955
Random Forest Tuned,0.7037030064014146,0.6530480845607272,0.6426744173119705,0.7003180645308918,0.670259156533535
AdaBoost Base,0.6917173975420705,0.6470046438999,0.63751826625387,0.6929257225771976,0.6640682494093578
AdaBoost Tuned,0.6936031900077052,0.647398412995329,0.6399112803403014,0.6854189689217437,0.661883828904475
KNN (k=10),0.5676584091421223,0.5488903979982162,0.564166268355506,0.4575593157372623,0.5053011018413571
KNN (k=50),0.5854858406125953,0.5600230161763868,0.5691088793616909,0.5195933404313455,0.5432250955690979
KNN Tuned,0.599225370566749,0.56937,0.5779906447453943,0.5383317620205429,0.557456735314671
LightGBM Base,0.7316985458151627,0.6706226567011232,0.6607832536112718,0.7106756885901921,0.6848219502878485
LightGBM Tuned,0.7854516388596493,0.7109592513371883,0.7049410283576792,0.7325862024871758,0.7184977924048694
CatBoost (300 iters),0.7181148156636282,0.6616201870030445,0.6505484836838925,0.708604163778332,0.6783364107612478
CatBoost (1000 iters),0.7380476585130407,0.6749432728514847,0.6648543942180912,0.7146989424320698,0.6888762033265005
CatBoost Tuned,0.7456693930659902,0.6603921154007769,0.618001375938639,0.8524344791104422,0.7165299719520322
XGBoost Base,0.7330687529972237,0.6719645892466471,0.6613735574729693,0.7141699565639339,0.6867585357977024
XGBoost Tuned,0.7621972166523195,0.6920481686009472,0.6816350065024089,0.728785041948714,0.7044219165107608
Logistic Regression Base,0.6054982854903648,0.5726744580083553,0.5931072523591743,0.4819599666725442,0.5317880529139977
Gaussian Naive Bayes,0.6140535817266105,0.5927621038249145,0.599034321599072,0.578300003634254,0.5884845840863968
Gaussian Naive Bayes Tuned,0.6259604819801249,0.6046429510587712,0.6036528019537034,0.6255008877002036,0.6143826710410372
K Means,0.4921338015818671,0.4950077398331666,0.4991880156026326,0.9007337155132844,0.6423723070218299
Weighted Boosting Ensemble,0.7746541033739118,0.6993718671297011,0.6800991463069805,0.7608068582412095,0.7181927109209124
